,userID,user,genre_match,user_matches
25,25,Adam Bento,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
26,26,Mark Altamirano,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
27,27,Anna Townsend,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'Raymond Adami', 'David Vella', 'Douglas Shepherd', 'Frank Hart', 'Thelma Vannest', 'Anthony Buck', 'Matthew Boon', 'Aaron White', 'Dorothy Sandoval', 'Nellie Winslow']"
28,28,Anthony Buck,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'Raymond Adami', 'David Vella', 'Douglas Shepherd', 'Frank Hart', 'Thelma Vannest', 'Anna Townsend', 'Matthew Boon', 'Aaron White', 'Dorothy Sandoval', 'Nellie Winslow']"
29,29,Matthew Boon,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'Raymond Adami', 'David Vella', 'Douglas Shepherd', 'Frank Hart', 'Thelma Vannest', 'Anna Townsend', 'Anthony Buck', 'Aaron White', 'Dorothy Sandoval', 'Nellie Winslow']"
30,30,Aaron White,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'Raymond Adami', 'David Vella', 'Douglas Shepherd', 'Frank Hart', 'Thelma Vannest', 'Anna Townsend', 'Anthony Buck', 'Matthew Boon', 'Dorothy Sandoval', 'Nellie Winslow']"
31,31,Kristina Wince,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
32,32,Tyler Stuart,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
33,33,Lloyd Allan,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
34,34,Gloria Oneil,Alternative,"['Cinda Holeman', 'William Knox', 'Larry Booher', 'Monica Strickland']"
35,35,Dorothy Sandoval,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'Raymond Adami', 'David Vella', 'Douglas Shepherd', 'Frank Hart', 'Thelma Vannest', 'Anna Townsend', 'Anthony Buck', 'Matthew Boon', 'Aaron White', 'Nellie Winslow']"
36,36,Liz Townes,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
37,37,Michelle Favors,Metal,"['Irma Moon', 'Heidi Knecht']"
38,38,Edwina Hargis,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
39,39,William Knox,Alternative,"['Cinda Holeman', 'Gloria Oneil', 'Larry Booher', 'Monica Strickland']"
40,40,Jason Wallace,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
41,41,Larry Booher,Alternative,"['Cinda Holeman', 'Gloria Oneil', 'William Knox', 'Monica Strickland']"
42,42,Cody Geis,Classical,"['Ada Grossman', 'Charlie Hayes', 'Bruce Hyde', 'Michael Mcgee']"
43,43,Monica Strickland,Alternative,"['Cinda Holeman', 'Gloria Oneil', 'William Knox', 'Larry Booher']"
44,44,Nellie Winslow,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'Raymond Adami', 'David Vella', 'Douglas Shepherd', 'Frank Hart', 'Thelma Vannest', 'Anna Townsend', 'Anthony Buck', 'Matthew Boon', 'Aaron White', 'Dorothy Sandoval']"
45,45,Troy Wires,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
46,46,Tiffany Clark,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Rosaura Pace', 'Lenora Caver']"
47,47,Ignacio Carter,Folk,[]
48,48,Rosaura Pace,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Lenora Caver']"
49,49,Lenora Caver,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace']"
