,Names,Ages,Instruments,Email,Location,Bio,Songs,Genre,Artists,Score
17,Joseph Ham,26,Trombone,440061@email.com,Santa Ana,I like to play the Trombone and I live in Santa Ana.,"[""Livin' On A Prayer"", 'Smoke On The Water - Remastered 2012', ""Can't Get You out of My Head"", 'Wannabe', 'Every Breath You Take - Remastered 2003']","['Metal', 'Rock', 'Pop', 'Pop', 'Rock']","['Bon Jovi', 'Deep Purple', 'Kylie Minogue', 'Spice Girls', 'The Police']",48.0
18,David Vella,37,Guitar,1283255@email.com,Birmingham,I like to play the Guitar and I live in Birmingham.,"[""Livin' On A Prayer"", 'All Along the Watchtower', 'Stairway to Heaven - Remaster', 'Every Breath You Take - Remastered 2003', 'Need You Tonight']","['Metal', 'Rock', 'Rock', 'Rock', 'Rock']","['Bon Jovi', 'Jimi Hendrix', 'Led Zeppelin', 'The Police', 'INXS']",44.0
19,Douglas Shepherd,22,Guitar,454828@email.com,San Jose,I like to play the Guitar and I live in San Jose.,"['Bohemian Rhapsody - Remastered 2011', 'Like a Virgin', 'Girls on Film - 2010 Remaster', 'Alive', ""It's a Long Way to the Top (If You Wanna Rock 'N' Roll)""]","['Rock', 'Pop', 'Rock', 'Alternative', 'Rock']","['Queen', 'Madonna', 'Duran Duran', 'Pearl Jam', 'AC/DC']",50.0
20,Frank Hart,18,Guitar,1242894@email.com,Fontana,I like to play the Guitar and I live in Fontana.,"['Bitter Sweet Symphony', 'Oops!...I Did It Again', ""Knockin' On Heaven's Door"", 'Purple Rain', 'Hotel California - 2013 Remaster']","['Alternative', 'Pop', 'Rock', 'Rock', 'Rock']","['The Verve', 'Britney Spears', 'Bob Dylan', 'Prince', 'Eagles']",50.0
21,Ian Brown,30,Flute,444534@email.com,Chandler,I like to play the Flute and I live in Chandler.,"['Song 2', 'Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster', 'Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack', 'My Happiness', 'Girls on Film - 2010 Remaster']","['Alternative', 'Rock', 'Rock', 'Alternative', 'Rock']","['Blur', 'Eric Clapton', 'Bee Gees', 'Powderfinger', 'Duran Duran']",46.0
22,Heidi Knecht,19,Saxophone,926727@email.com,Chicago,I like to play the Saxophone and I live in Chicago.,"['You Oughta Know', ""Sweet Child O' Mine"", 'Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack', 'Imagine - Remastered 2010', 'Stairway to Heaven - Remaster']","['Alternative', 'Metal', 'Rock', 'Rock', 'Rock']","['Alanis Morissette', ""Guns N' Roses"", 'Bee Gees', 'John Lennon', 'Led Zeppelin']",42.0
23,Peter Pollard,39,Guitar,918235@email.com,Billings,I like to play the Guitar and I live in Billings.,"['Nothing Compares 2 U', ""I Still Haven't Found What I'm Looking For - Remastered 2007"", 'Careless Whisper', 'Karma Chameleon', 'Smells Like Teen Spirit']","['Pop', 'Rock', 'Pop', 'Pop', 'Rock']","[""Sinéad O'Connor"", 'U2', 'George Michael', 'Culture Club', 'Nirvana']",56.0
24,Thelma Vannest,28,Guitar,549655@email.com,Charleston,I like to play the Guitar and I live in Charleston.,"['Nothing Compares 2 U', 'Alive', 'Sweet Caroline', 'Like a Virgin', ""You're so Vain""]","['Pop', 'Alternative', 'Pop', 'Pop', 'Country']","[""Sinéad O'Connor"", 'Pearl Jam', 'Neil Diamond', 'Madonna', 'Carly Simon']",50.0
25,Adam Bento,25,Keyboard,649474@email.com,Billings,I like to play the Keyboard and I live in Billings.,"['Back for Good - Radio Mix', ""Knockin' On Heaven's Door"", 'Superstition', ""Can't Get You out of My Head"", ""It's a Long Way to the Top (If You Wanna Rock 'N' Roll)""]","['Pop', 'Rock', 'Soul', 'Pop', 'Rock']","['Take That', 'Bob Dylan', 'Stevie Wonder', 'Kylie Minogue', 'AC/DC']",62.0
26,Mark Altamirano,36,Trombone,1222645@email.com,Charlotte,I like to play the Trombone and I live in Charlotte.,"['Thinking out Loud', 'Blame It on the Boogie', 'Down Under', 'My Generation - Original Mono Version', 'You Oughta Know']","['Pop', 'Soul', 'Rock', 'Rock', 'Alternative']","['Ed Sheeran', 'The Jacksons', 'Men At Work', 'The Who', 'Alanis Morissette']",58.0
27,Anna Townsend,19,Piano,1134912@email.com,Indianapolis,I like to play the Piano and I live in Indianapolis.,"['Truly Madly Deeply', 'Bohemian Rhapsody - Remastered 2011', 'Imagine - Remastered 2010', 'Treaty (Radio Mix)', 'The Real Slim Shady']","['Pop', 'Rock', 'Rock', 'Rock', 'Rap']","['Savage Garden', 'Queen', 'John Lennon', 'Yothu Yindi', 'Eminem']",56.0
28,Anthony Buck,22,Flute,1119340@email.com,Fontana,I like to play the Flute and I live in Fontana.,"['My Happiness', 'London Calling - Remastered', 'Thinking out Loud', 'Friday on My Mind', 'Girls Just Want to Have Fun']","['Alternative', 'Rock', 'Pop', 'Rock', 'Pop']","['Powderfinger', 'The Clash', 'Ed Sheeran', 'The Easybeats', 'Cyndi Lauper']",52.0
29,Matthew Boon,40,Guitar,1112951@email.com,Lincoln,I like to play the Guitar and I live in Lincoln.,"['I Will Survive - Rerecorded', ""Knockin' On Heaven's Door"", 'In The Air Tonight - 2015 Remastered', 'Eagle Rock - 2011 Remaster', 'Back for Good - Radio Mix']","['Pop', 'Rock', 'Rock', 'Rock', 'Pop']","['Gloria Gaynor', 'Bob Dylan', 'Phil Collins', 'Daddy Cool', 'Take That']",54.0
30,Aaron White,34,Guitar,665275@email.com,Columbus,I like to play the Guitar and I live in Columbus.,"['The Real Slim Shady', ""Knockin' On Heaven's Door"", 'MMMBop', 'Good Vibrations - Remastered 2001', ""Sweet Child O' Mine""]","['Rap', 'Rock', 'Pop', 'Pop', 'Metal']","['Eminem', 'Bob Dylan', 'Hanson', 'The Beach Boys', ""Guns N' Roses""]",52.0
31,Kristina Wince,27,Oboe,497221@email.com,Norfolk,I like to play the Oboe and I live in Norfolk.,"['Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster', 'Piano Man', 'Karma Chameleon', 'Nothing Compares 2 U', 'I Will Always Love You']","['Rock', 'Rock', 'Pop', 'Pop', 'Pop']","['Eric Clapton', 'Billy Joel', 'Culture Club', ""Sinéad O'Connor"", 'Whitney Houston']",56.0
32,Tyler Stuart,19,Keyboard,955571@email.com,Honolulu,I like to play the Keyboard and I live in Honolulu.,"['Great Southern Land', 'Killing Me Softly With His Song', 'Better Be Home Soon', 'Clocks', 'Dancing Queen']","['Rock', 'Rap', 'Rock', 'Pop', 'Pop']","['ICEHOUSE', 'Fugees', 'Crowded House', 'Coldplay', 'ABBA']",58.0
33,Lloyd Allan,31,Trumpet,563594@email.com,Denver,I like to play the Trumpet and I live in Denver.,"['Girls Just Want to Have Fun', 'Back for Good - Radio Mix', 'Treaty (Radio Mix)', ""(I Can't Get No) Satisfaction - Mono Version / Remastered 2002"", 'Killing Me Softly With His Song']","['Pop', 'Pop', 'Rock', 'Rock', 'Rap']","['Cyndi Lauper', 'Take That', 'Yothu Yindi', 'The Rolling Stones', 'Fugees']",58.0
34,Gloria Oneil,24,Oboe,847823@email.com,New York,I like to play the Oboe and I live in New York.,"['Great Southern Land', 'Bitter Sweet Symphony', 'Money For Nothing', 'Imagine - Remastered 2010', 'Smells Like Teen Spirit']","['Rock', 'Alternative', 'Rock', 'Rock', 'Rock']","['ICEHOUSE', 'The Verve', 'Dire Straits', 'John Lennon', 'Nirvana']",48.0
35,Dorothy Sandoval,18,Trumpet,752662@email.com,New Orleans,I like to play the Trumpet and I live in New Orleans.,"['Wake Me Up Before You Go-Go', 'Wonderwall - Remastered', 'Single Ladies (Put a Ring on It)', 'Money For Nothing', ""Knockin' On Heaven's Door""]","['Pop', 'Pop', 'Pop', 'Rock', 'Rock']","['Wham!', 'Oasis', 'Beyoncé', 'Dire Straits', 'Bob Dylan']",56.0
36,Liz Townes,32,Trumpet,592384@email.com,Omaha,I like to play the Trumpet and I live in Omaha.,"['Angels', 'My Generation - Original Mono Version', 'Rhiannon', 'Are You Gonna Go My Way', ""Let's Talk About Sex""]","['Pop', 'Rock', 'Rock', 'Rock', 'Pop']","['Robbie Williams', 'The Who', 'Fleetwood Mac', 'Lenny Kravitz', 'Salt-N-Pepa']",54.0
37,Michelle Favors,31,Keyboard,580008@email.com,Albuquerque,I like to play the Keyboard and I live in Albuquerque.,"['Rhiannon', 'The Real Thing', 'Call Me', 'Everlong', 'Love Will Tear Us Apart']","['Rock', 'Rock', 'Pop', 'Metal', 'Alternative']","['Fleetwood Mac', 'Russell Morris', 'Blondie', 'Foo Fighters', 'Joy Division']",44.0
38,Edwina Hargis,29,Saxophone,1256269@email.com,New Haven,I like to play the Saxophone and I live in New Haven.,"['Nothing Compares 2 U', 'Light My Fire - 2017 Remaster', 'Are You Gonna Go My Way', 'Somebody That I Used To Know', 'Girls on Film - 2010 Remaster']","['Pop', 'Rock', 'Rock', 'Pop', 'Rock']","[""Sinéad O'Connor"", 'The Doors', 'Lenny Kravitz', 'Gotye', 'Duran Duran']",54.0
39,William Knox,18,Trombone,1066191@email.com,Santa Clarita,I like to play the Trombone and I live in Santa Clarita.,"[""Can't Get You out of My Head"", 'Creep', 'Superstition', 'Every Breath You Take - Remastered 2003', 'Enter Sandman']","['Pop', 'Alternative', 'Soul', 'Rock', 'Rock']","['Kylie Minogue', 'Radiohead', 'Stevie Wonder', 'The Police', 'Metallica']",58.0
40,Jason Wallace,36,Violin,36502@email.com,Shreveport,I like to play the Violin and I live in Shreveport.,"['Love Will Tear Us Apart', 'Call Me', 'Dancing Queen', 'Wannabe', 'Treaty (Radio Mix)']","['Alternative', 'Pop', 'Pop', 'Pop', 'Rock']","['Joy Division', 'Blondie', 'ABBA', 'Spice Girls', 'Yothu Yindi']",54.0
41,Larry Booher,25,Piano,236526@email.com,Durham,I like to play the Piano and I live in Durham.,"['Careless Whisper', 'Thriller - Single Version', 'Everlong', 'Under the Bridge', 'Born in the U.S.A.']","['Pop', 'Pop', 'Metal', 'Alternative', 'Rock']","['George Michael', 'Michael Jackson', 'Foo Fighters', 'Red Hot Chili Peppers', 'Bruce Springsteen']",46.0
42,Cody Geis,25,Oboe,824595@email.com,Columbus,I like to play the Oboe and I live in Columbus.,"['Another Brick in the Wall, Pt. 2', 'Are You Gonna Go My Way', 'Rolling in the Deep', 'Thriller - Single Version', 'Under the Bridge']","['Rock', 'Rock', 'Soul', 'Pop', 'Alternative']","['Pink Floyd', 'Lenny Kravitz', 'Adele', 'Michael Jackson', 'Red Hot Chili Peppers']",58.0
43,Monica Strickland,39,Trombone,632622@email.com,Portland,I like to play the Trombone and I live in Portland.,"['Billie Jean', 'Respect', 'You Can Call Me Al', 'Bitter Sweet Symphony', ""It's a Long Way to the Top (If You Wanna Rock 'N' Roll)""]","['Pop', 'Soul', 'Rock', 'Alternative', 'Rock']","['Michael Jackson', 'Aretha Franklin', 'Paul Simon', 'The Verve', 'AC/DC']",58.0
44,Nellie Winslow,26,Piano,1112794@email.com,New Orleans,I like to play the Piano and I live in New Orleans.,"['American Pie', 'Single Ladies (Put a Ring on It)', 'Enter Sandman', 'Respect', ""It's a Long Way to the Top (If You Wanna Rock 'N' Roll)""]","['Rock', 'Pop', 'Rock', 'Soul', 'Rock']","['Don McLean', 'Beyoncé', 'Metallica', 'Aretha Franklin', 'AC/DC']",60.0
45,Troy Wires,32,Flute,910337@email.com,Fontana,I like to play the Flute and I live in Fontana.,"['Space Oddity - 2015 Remaster', 'Smoke On The Water - Remastered 2012', 'Oops!...I Did It Again', 'Hey Jude', 'Under the Bridge']","['Rock', 'Rock', 'Pop', 'Rock', 'Alternative']","['David Bowie', 'Deep Purple', 'Britney Spears', 'Paul McCartney', 'Red Hot Chili Peppers']",50.0
46,Tiffany Clark,30,Bass,755858@email.com,Gulfport,I like to play the Bass and I live in Gulfport.,"['Rhiannon', 'Clocks', 'Creep', 'You Can Call Me Al', ""Knockin' On Heaven's Door""]","['Rock', 'Pop', 'Alternative', 'Rock', 'Rock']","['Fleetwood Mac', 'Coldplay', 'Radiohead', 'Paul Simon', 'Bob Dylan']",50.0
47,Ignacio Carter,36,Bass,690917@email.com,Casper,I like to play the Bass and I live in Casper.,"['Imagine - Remastered 2010', 'Rolling in the Deep', 'Girls on Film - 2010 Remaster', 'Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster', 'Eagle Rock - 2011 Remaster']","['Rock', 'Soul', 'Rock', 'Rock', 'Rock']","['John Lennon', 'Adele', 'Duran Duran', 'Eric Clapton', 'Daddy Cool']",58.0
48,Rosaura Pace,24,Flute,608897@email.com,Juneau,I like to play the Flute and I live in Juneau.,"['Rhiannon', 'Light My Fire - 2017 Remaster', ""(I Can't Get No) Satisfaction - Mono Version / Remastered 2002"", 'Clocks', 'Born in the U.S.A.']","['Rock', 'Rock', 'Rock', 'Pop', 'Rock']","['Fleetwood Mac', 'The Doors', 'The Rolling Stones', 'Coldplay', 'Bruce Springsteen']",52.0
49,Lenora Caver,33,Bass,147497@email.com,Akron,I like to play the Bass and I live in Akron.,"['Losing My Religion', 'Blame It on the Boogie', 'My Sharona', 'Karma Chameleon', ""Let's Talk About Sex""]","['Alternative', 'Soul', 'Rock', 'Pop', 'Pop']","['R.E.M.', 'The Jacksons', 'The Knack', 'Culture Club', 'Salt-N-Pepa']",60.0
